Generation,Nuclear,Fossil fuels,Renewables,Hydroelectricity,Non-hydroelectric renewables,Geothermal,"Solar, tide, wave, fuel cell",Tide and wave,Solar,Wind,Biomass and waste,Hydroelectric pumped storage,Consumption,Imports,Exports,Distribution losses
"8,615","0,000","5,602","3,013","3,013","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,358","0,325","0,052","2,530"
"6,131","0,000","1,882","4,249","4,249","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,724","0,114","0,131","2,390"
"5,494","0,000","2,015","3,479","3,479","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,273","0,020","0,000","2,241"
"5,038","0,000","3,138","1,900","1,900","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","2,858","0,015","0,000","2,195"
"5,835","2,100","2,179","1,556","1,556","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,486","0,000","0,000","2,349"
"5,656","1,430","2,850","1,376","1,376","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","4,281","0,000","0,124","1,251"
"5,822","1,420","2,880","1,522","1,522","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,671","0,000","0,387","1,764"
"5,561","2,080","2,293","1,188","1,188","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,880","0,460","0,704","1,437"
"5,618","1,840","2,530","1,248","1,248","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,691","0,400","0,815","1,512"
"5,568","1,987","2,623","0,958","0,958","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,695","0,330","0,701","1,502"
"5,215","2,090","1,484","1,641","1,641","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,441","0,300","0,660","1,414"
"5,212","1,820","1,430","1,962","1,962","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","3,696","0,307","0,583","1,240"
"5,904","2,205","1,721","1,978","1,978","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","4,196","0,260","1,012","0,956"
"5,978","2,504","1,718","1,756","1,755","0,001","0,000","0,000","0,000","0,000","0,001","0,000","0,000","4,164","0,338","1,151","1,001"
"5,617","2,422","1,387","1,808","1,807","0,001","0,000","0,000","0,000","0,000","0,001","0,000","0,000","4,439","0,355","0,755","0,779"
"5,584","2,348","1,400","1,837","1,834","0,003","0,000","0,000","0,000","0,000","0,003","0,000","0,000","4,776","0,419","0,451","0,775"
"5,466","2,266","1,419","1,781","1,779","0,002","0,000","0,000","0,000","0,000","0,002","0,000","0,000","4,557","0,343","0,360","0,892"
"5,378","2,290","1,085","2,003","1,999","0,004","0,000","0,000","0,000","0,000","0,004","0,000","0,000","4,490","0,291","0,336","0,843"
"6,176","2,287","1,352","2,537","2,530","0,007","0,000","0,000","0,000","0,000","0,007","0,000","0,000","4,631","0,246","1,061","0,730"
"7,071","2,357","2,247","2,467","2,464","0,003","0,000","0,000","0,000","0,000","0,003","0,000","0,000","4,989","0,205","1,383","0,904"
"7,622","2,124","3,195","2,303","2,299","0,004","0,000","0,000","0,000","0,000","0,004","0,000","0,000","5,043","0,098","1,696","0,981"
"7,306","2,168","2,983","2,155","2,151","0,004","0,000","0,000","0,000","0,000","0,004","0,000","0,000","5,192","0,148","1,313","0,949"
"7,334","2,266","3,092","1,976","1,972","0,004","0,000","0,000","0,000","0,000","0,004","0,000","0,000","5,297","0,206","1,314","0,929"
"7,391","2,571","2,633","2,187","2,184","0,003","0,000","0,000","0,000","0,000","0,003","0,000","0,000","5,329","0,174","1,424","0,812"
"6,951","2,195","2,426","2,330","2,327","0,003","0,000","0,001","0,000","0,001","0,002","0,000","0,000","5,291","0,275","1,229","0,706"
"7,362","2,411","2,700","2,251","2,246","0,005","0,000","0,003","0,000","0,003","0,002","0,000","0,000","5,573","0,319","1,440","0,668"
"7,387","1,898","3,173","2,316","2,295","0,021","0,000","0,019","0,000","0,019","0,002","0,000","0,000","5,353","0,204","1,627","0,611"
"7,304","2,029","2,864","2,411","2,347","0,064","0,000","0,061","0,000","0,061","0,003","0,000","0,000","5,798","0,293","1,251","0,548"
"7,445","2,552","2,976","1,917","1,778","0,139","0,000","0,137","0,000","0,137","0,002","0,000","0,000","5,867","0,320","1,333","0,565"
"7,324","1,850","3,181","2,293","2,202","0,091","0,000","0,090","0,000","0,090","0,001","0,000","0,000","6,132","0,368","0,995","0,565"
