Generation,Nuclear,Fossil fuels,Renewables,Hydroelectricity,Non-hydroelectric renewables,Geothermal,"Solar, tide, wave, fuel cell",Tide and wave,Solar,Wind,Biomass and waste,Hydroelectric pumped storage,Consumption,Imports,Exports,Distribution losses
"18,580","0,000","16,850","1,730","1,730","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","15,248","0,850","1,396","2,786"
"18,074","0,000","15,698","2,376","2,376","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","14,334","0,310","0,250","3,800"
"16,609","0,000","14,798","1,811","1,811","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","14,594","0,540","0,250","2,305"
"16,100","0,000","14,560","1,540","1,540","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","13,724","0,900","0,500","2,776"
"16,140","0,000","14,617","1,523","1,523","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","13,614","0,775","0,580","2,721"
"15,912","0,000","14,217","1,695","1,695","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","14,120","1,600","0,284","3,108"
"17,015","0,000","15,084","1,931","1,931","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","14,760","0,900","1,002","2,153"
"17,162","0,000","15,671","1,491","1,491","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","15,118","1,630","0,886","2,788"
"17,654","0,000","16,135","1,519","1,519","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","15,406","0,900","0,378","2,770"
"17,896","0,000","16,608","1,288","1,288","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","15,570","1,200","0,966","2,560"
"18,472","0,000","16,472","2,000","2,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","16,133","2,400","0,925","3,814"
"20,131","0,000","17,687","2,444","2,444","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","18,301","2,500","0,871","3,459"
"20,482","0,000","17,755","2,727","2,727","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","19,085","2,373","1,008","2,762"
"20,095","0,000","17,116","2,979","2,979","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","17,266","2,082","0,880","4,031"
"22,320","0,000","19,827","2,493","2,493","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","19,432","1,766","0,879","3,775"
"20,654","0,000","18,314","2,340","2,340","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","16,984","0,548","0,786","3,432"
"20,456","0,000","18,246","2,210","2,210","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","16,697","0,216","0,812","3,163"
"17,852","0,000","15,565","2,287","2,285","0,002","0,000","0,000","0,000","0,000","0,002","0,000","0,000","13,482","0,110","0,380","4,100"
"17,760","0,000","14,347","3,413","3,412","0,001","0,000","0,000","0,000","0,000","0,001","0,000","0,000","13,568","0,100","0,462","3,830"
"19,210","0,000","16,561","2,649","2,649","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","14,560","0,128","0,805","3,973"
"21,700","0,000","19,897","1,803","1,803","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","17,793","0,141","0,680","3,368"
"22,035","0,000","20,425","1,610","1,474","0,136","0,000","0,001","0,000","0,001","0,001","0,134","0,000","18,386","0,127","0,495","3,281"
"23,320","0,000","21,854","1,466","1,287","0,179","0,000","0,003","0,000","0,003","0,002","0,174","0,000","19,592","0,124","0,489","3,363"
"23,300","0,000","21,487","1,813","1,621","0,192","0,000","0,005","0,000","0,005","0,005","0,182","0,000","20,274","0,108","0,265","2,869"
"23,568","0,000","21,396","2,172","1,939","0,233","0,000","0,035","0,000","0,035","0,023","0,175","0,000","20,236","0,114","1,096","2,350"
"22,961","0,000","21,003","1,958","1,729","0,229","0,000","0,037","0,000","0,037","0,022","0,170","0,000","19,535","0,108","1,283","2,251"
"23,820","0,000","21,786","2,034","1,750","0,284","0,000","0,039","0,000","0,039","0,083","0,162","0,000","20,287","0,131","1,445","2,220"
"24,607","0,000","22,712","1,894","1,549","0,345","0,000","0,044","0,000","0,044","0,105","0,196","0,000","21,027","0,137","1,491","2,226"
"24,371","0,000","22,960","1,411","1,067","0,344","0,000","0,047","0,000","0,047","0,096","0,201","0,000","21,315","0,137","1,151","2,042"
"26,300","0,000","24,682","1,617","1,277","0,340","0,000","0,055","0,000","0,055","0,091","0,194","0,000","24,619","0,152","1,673","0,160"
