Generation,Nuclear,Fossil fuels,Renewables,Hydroelectricity,Non-hydroelectric renewables,Geothermal,"Solar, tide, wave, fuel cell",Tide and wave,Solar,Wind,Biomass and waste,Hydroelectric pumped storage,Consumption,Imports,Exports,Distribution losses
"11,144","0,000","4,705","6,439","6,439","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","10,113","1,500","0,531","2,000"
"9,465","0,000","2,929","6,536","6,536","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","8,379","1,050","0,339","1,797"
"8,669","0,000","1,965","6,704","6,704","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","7,708","1,100","0,150","1,911"
"6,646","0,000","1,495","5,151","5,151","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","5,514","0,950","0,180","1,902"
"7,081","0,000","1,141","5,940","5,940","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","5,260","0,400","0,126","2,095"
"7,047","0,000","1,060","5,987","5,987","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","5,678","0,653","0,465","1,557"
"7,903","0,000","1,595","6,308","6,308","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,695","0,720","0,796","1,132"
"7,886","0,000","1,508","6,378","6,378","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,702","0,440","0,384","1,240"
"7,271","0,000","1,470","5,801","5,801","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,274","0,450","0,198","1,249"
"6,798","0,000","1,311","5,487","5,487","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,226","0,800","0,527","0,845"
"7,160","0,000","0,461","6,699","6,699","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,399","0,605","0,158","1,208"
"7,057","0,000","0,596","6,461","6,461","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,812","1,071","0,159","1,157"
"6,812","0,000","0,823","5,989","5,989","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","7,014","1,281","0,000","1,079"
"7,143","0,000","0,969","6,174","6,174","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","7,355","1,468","0,122","1,134"
"7,116","0,000","1,854","5,262","5,262","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,694","0,756","0,140","1,038"
"8,173","0,000","1,423","6,750","6,750","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,905","0,430","0,628","1,070"
"8,304","0,000","1,214","7,090","7,090","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","7,092","0,558","0,675","1,095"
"8,415","0,000","1,077","7,338","7,338","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","6,849","0,255","0,740","1,081"
"9,985","0,000","0,712","9,273","9,273","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","7,622","0,232","1,492","1,103"
"9,977","0,000","2,166","7,811","7,811","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","8,382","0,477","0,930","1,142"
"9,475","0,000","2,324","7,151","7,151","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","8,468","0,615","0,528","1,094"
"9,869","0,000","1,681","8,188","8,188","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","9,098","0,484","0,450","0,805"
"10,166","0,000","1,914","8,252","8,252","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","9,815","0,853","0,604","0,600"
"10,605","0,000","2,236","8,369","8,369","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","9,933","0,699","0,660","0,711"
"11,347","0,000","2,102","9,245","9,236","0,009","0,000","0,000","0,000","0,000","0,009","0,000","0,000","10,483","1,329","1,409","0,784"
"11,305","0,000","2,099","9,206","9,118","0,088","0,000","0,000","0,000","0,000","0,088","0,000","0,000","11,212","1,751","0,940","0,904"
"11,922","0,000","1,988","9,934","9,850","0,084","0,000","0,000","0,000","0,000","0,084","0,000","0,000","11,956","1,522","0,602","0,886"
"11,597","0,000","2,670","8,928","8,843","0,085","0,000","0,000","0,000","0,000","0,085","0,000","0,000","12,062","1,763","0,380","0,918"
"11,160","0,000","2,821","8,339","8,248","0,091","0,000","0,000","0,000","0,000","0,091","0,000","0,000","11,728","1,712","0,256","0,888"
"12,645","0,000","2,380","10,265","10,182","0,083","0,000","0,000","0,000","0,000","0,083","0,000","0,000","13,400","3,190","1,575","0,860"
